Timestamp,Direction,CAN_ID,DLC,Data,Description
0.000000,Tx,7DF,8,02 10 83 00 00 00 00 00,DiagnosticSessionControl extended SF
0.001000,Tx,7DF,8,02 85 82 00 00 00 00 00,ControlDTCSetting SF
0.002000,Tx,7DF,8,03 28 83 03 00 00 00 00,CommunicationControl SF
0.003000,Tx,740,8,02 27 05 00 00 00 00 00,SecurityAccess request seed SF
0.004000,Rx,748,8,10 0A 67 05 12 34 56 78,SecurityAccess seed response FF
0.005000,Rx,748,8,21 9A BC DE 00 00 00 00,SecurityAccess seed response CF1
0.006000,Tx,740,8,10 0A 27 06 A2 60 02 30,SecurityAccess send key FF
0.007000,Rx,748,8,30 FF 00 00 00 00 00 00,SecurityAccess send key FlowControl
0.008000,Tx,740,8,21 16 AD CC 8E 00 00 00,SecurityAccess send key CF1
0.009000,Rx,748,8,02 67 06 00 00 00 00 00,SecurityAccess unlock response SF
0.010000,Tx,740,8,02 10 02 00 00 00 00 00,DiagnosticSessionControl programming SF
0.011000,Rx,748,8,06 50 02 00 32 01 F4 00,DiagnosticSessionControl positive response SF
0.012000,Tx,740,8,05 31 01 02 00 01 00 00,RoutineControl set boot flag SF
0.013000,Rx,748,8,04 71 01 02 00 00 00 00,RoutineControl set boot flag response SF
0.014000,Tx,740,8,10 09 83 04 00 00 00 32,AccessTimingParameter setToGivenValues FF
0.015000,Rx,748,8,30 FF 00 00 00 00 00 00,AccessTimingParameter setToGivenValues FlowControl
0.016000,Tx,740,8,21 00 00 00 00 00 00 00,AccessTimingParameter setToGivenValues CF1
0.017000,Rx,748,8,02 C3 04 00 00 00 00 00,AccessTimingParameter positive response SF
0.018000,Tx,740,8,05 31 01 FF 00 02 00 00,RoutineControl erase segment 1 SF
0.019000,Rx,748,8,03 7F 31 78 00 00 00 00,RoutineControl erase response segment 1 ResponsePending SF
0.120000,Rx,748,8,04 71 01 FF 00 00 00 00,RoutineControl erase response segment 1 SF
0.121000,Tx,740,8,10 0B 34 00 44 00 00 00,RequestDownload segment 1 FF
0.122000,Rx,748,8,30 FF 00 00 00 00 00 00,RequestDownload segment 1 FlowControl
0.123000,Tx,740,8,21 00 00 00 BB 80 00 00,RequestDownload segment 1 CF1
0.144000,Rx,748,8,04 74 20 0F FF 00 00 00,RequestDownload response segment 1 SF
0.145000,Tx,740,8,1F FF 36 01 00 01 02 03,TransferData segment 1 block 01 FF
0.146000,Rx,748,8,30 FF 00 00 00 00 00 00,TransferData segment 1 block 01 FlowControl
0.147000,Tx,740,8,21 04 05 06 07 08 09 0A,TransferData segment 1 block 01 CF1
0.148000,Tx,740,8,22 0B 0C 0D 0E 0F 10 11,TransferData segment 1 block 01 CF2
0.149000,Tx,740,8,23 12 13 14 15 16 17 18,TransferData segment 1 block 01 CF3
0.150000,Tx,740,8,24 19 1A 1B 1C 1D 1E 1F,TransferData segment 1 block 01 CF4
0.151000,Tx,740,8,25 20 21 22 23 24 25 26,TransferData segment 1 block 01 CF5
0.152000,Tx,740,8,26 27 28 29 2A 2B 2C 2D,TransferData segment 1 block 01 CF6
0.153000,Tx,740,8,27 2E 2F 30 31 32 33 34,TransferData segment 1 block 01 CF7
0.154000,Tx,740,8,28 35 36 37 38 39 3A 3B,TransferData segment 1 block 01 CF8
0.155000,Tx,740,8,29 3C 3D 3E 3F 40 41 42,TransferData segment 1 block 01 CF9
0.156000,Tx,740,8,2A 43 44 45 46 47 48 49,TransferData segment 1 block 01 CF10
0.157000,Tx,740,8,2B 4A 4B 4C 4D 4E 4F 50,TransferData segment 1 block 01 CF11
0.158000,Tx,740,8,2C 51 52 53 54 55 56 57,TransferData segment 1 block 01 CF12
0.159000,Tx,740,8,2D 58 59 5A 5B 5C 5D 5E,TransferData segment 1 block 01 CF13
0.160000,Tx,740,8,2E 5F 60 61 62 63 64 65,TransferData segment 1 block 01 CF14
0.161000,Tx,740,8,2F 66 67 68 69 6A 6B 6C,TransferData segment 1 block 01 CF15
0.162000,Tx,740,8,20 6D 6E 6F 70 71 72 73,TransferData segment 1 block 01 CF16
